sector,subsector,segment,subsegment,asset,value,hex,unchanged,modified,added,deleted
Energy,Natural Gas,Natural Gas Supply Facility,,On-Shore Well,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Supply Facility,,Off-Shore Well,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Supply Facility,,Unconventional Gas Extraction Facility,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,,,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Port,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Tanker,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Pipeline Hub,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Pipeline Interconnect,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Receipt/Delivery Metering Station,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Compressor Station,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Control Center,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Transmission Pipeline Segment,1,#FFFFFF,1,,,
Energy,Petroleum Facility,,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,,,Petroleum Refinery,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Storage Facility,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Storage Facility,,Strategic Petroleum Reserve,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,Crude Oil Land-based Terminal,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Storage Facility,Crude Oil Bulk Storage Facility,Crude Oil Marine Terminal,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,Drilling Rig,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,Gas-Oil Separation Plant,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,Off-Shore Well,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,On-Shore Well,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Supply Facility,,Oil Shale Production ,1,#FFFF00,,1,,
Energy,Petroleum Facility,Crude Oil Transport ,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,Crude Oil Tanker,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Marine Transport,Port Handling Crude Oil,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Control Center,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Pumping Station,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Crude Oil Transport ,Crude Oil Pipeline,Crude Oil Pipeline Segment,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,,,1,#FFFFFF,1,,,
